ID,Latitude,Longitude
1,34.571045,-118.689102
2,34.268787,-118.486194
3,34.249183,-118.427257
4,34.245149,-118.422992
5,34.23742,-118.414827
6,34.231273,-118.40134
7,34.231047,-118.401401
8,34.227093,-118.389006
9,34.226944,-118.389042
10,34.226376,-118.385923
11,34.225945,-118.374982
12,34.225778,-118.375075
13,34.221822,-118.364915
14,34.221104,-118.358957
15,34.212728,-118.349041
16,34.179879,-118.312407
17,34.170572,-118.30448
18,34.17007,-118.303837
19,34.165484,-118.29753
20,34.164088,-118.295568
21,34.154235,-118.274159
22,34.149135,-118.672472
23,34.139643,-118.365139
24,34.133767,-118.472292
25,34.120911,-117.829234
26,34.118291,-118.270166
27,34.117595,-117.844142
28,34.114761,-117.977832
29,34.11048,-118.481488
30,34.108429,-118.258982
31,34.094038,-118.242314
32,34.083198,-118.228213
33,34.081731,-117.72793
34,34.078365,-118.288977
35,34.072494,-118.07208
36,34.071766,-117.769758
37,34.071574,-118.11718
38,34.070002,-118.262279
39,34.069368,-118.217386
40,34.067067,-118.254688
41,34.066326,-118.155441
42,34.061442,-118.167268
43,34.059539,-117.804678
44,34.055285,-118.185874
45,34.055167,-118.216535
46,34.053753,-118.205692
47,34.042287,-118.44249
48,34.042214,-118.442698
49,34.037222,-118.302221
50,34.036847,-118.379114
51,34.035074,-118.33108
52,34.034994,-118.173285
53,34.034891,-118.029411
54,34.034495,-118.366371
55,34.03138,-118.02126
56,34.029516,-118.403014
57,34.025295,-118.205056
58,34.022791,-118.172955
59,34.020088,-118.189029
60,34.018964,-118.42366
61,34.015325,-118.17127
62,34.012079,-117.980022
63,34.009316,-118.057906
64,34.007196,-118.156466
65,34.002541,-118.150997
66,33.998463,-117.856533
67,33.996291,-117.924633
68,33.994935,-118.14469
69,33.985594,-118.072012
70,33.981839,-118.130679
71,33.971707,-118.123095
72,33.958225,-118.11239
73,33.958124,-118.087014
74,33.932384,-118.3602
75,33.929098,-118.220055
76,33.928424,-118.29444
77,33.927305,-118.266557
78,33.926754,-118.304542
79,33.921751,-118.368902
80,33.918043,-118.193865
81,33.916643,-118.079557
82,33.913023,-118.148672
83,33.903565,-118.10513
84,33.900669,-118.059422
85,33.892489,-118.044573
86,33.876731,-118.114918
87,33.876465,-118.104925
88,33.876234,-118.104961
89,33.872586,-118.289005
90,33.867122,-118.335344
91,33.866067,-118.098862
92,33.862176,-118.318174
93,33.858551,-118.287766
94,33.845809,-118.269724
95,33.838278,-118.087885
96,33.807173,-118.150983
97,33.802703,-118.13339
